Club,School Details,Count,Count.1
Brighton Wolves Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,28
Oakleigh Raptors Basketball Club,N/A,2176,100
Oakleigh Raptors Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,4
Moorabbin Magic Basketball Club,"St Bede's College, Mentone VIC 3194",36,9
Independent,"Brighton Grammar School, Brighton VIC 3186",236,12
Bentleigh Lakers Basketball Club,"Marymede Catholic College - Doreen, South Morang VIC 3754",1,1
Oakleigh Raptors Basketball Club,"Huntingtower School, Mount Waverley VIC 3149",1,1
Moorabbin Magic Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,18
Ormond Jets Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,14
ABA Wolverines Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,1
Independent,"St Joseph's School, Elsternwick VIC 3185",80,24
Saints Basketball Club (McKinnon),"Star of the Sea College, Brighton VIC 3186",96,29
Bentleigh Lakers Basketball Club,"De La Salle College, Malvern VIC 3144",54,18
Saints Basketball Club (McKinnon),"St Paul's School, Bentleigh VIC 3204",157,139
Bentleigh Lakers Basketball Club,"St Paul's School, Bentleigh VIC 3204",157,8
ABA Wolverines Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,11
Oakleigh Raptors Basketball Club,"Oakleigh Grammar, Oakleigh VIC 3166",29,15
Brighton Wolves Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,30
St Kilda Warriors Basketball Club,"St Kilda Primary School, St Kilda VIC 3182",26,13
Bentleigh Lakers Basketball Club,"St Michael's Grammar School, St Kilda VIC 3182",33,1
Ormond Jets Basketball Club,"Caulfield South Primary School, Caulfield South VIC 3162",114,101
Moorabbin Magic Basketball Club,"Le Page Primary School, Cheltenham VIC 3192",12,2
South East Warriors Basketball Club,"Murrumbeena Primary School, Murrumbeena VIC 3163",56,1
South East Warriors Basketball Club,N/A,2176,72
Bentleigh Lakers Basketball Club,"Murrumbeena Primary School, Murrumbeena VIC 3163",56,43
Ormond Jets Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,5
Ormond Jets Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,1
Ormond Jets Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,18
Brighton Wolves Basketball Club,"Sandringham College, Sandringham VIC 3191",15,4
Carnegie Basketball Club,"Murrumbeena Primary School, Murrumbeena VIC 3163",56,7
Bentleigh Lakers Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,45
Saints Basketball Club (McKinnon),"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,10
ABA Wolverines Basketball Club,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,14
Bentleigh Lakers Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,92
Bentleigh Lakers Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,71
Moorabbin Magic Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,1
Brighton Wolves Basketball Club,"Elwood College, Elwood VIC 3184",37,22
Moorabbin Magic Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,3
Ormond Jets Basketball Club,"Ormond Primary School, Ormond VIC 3204",37,24
South East Warriors Basketball Club,"Melbourne Montessori College - Caulfield South Campus, Caulfield South VIC 3162",7,3
Brighton Wolves Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,37
Bentleigh Lakers Basketball Club,"South Oakleigh College, Oakleigh South VIC 3167",61,14
Ormond Jets Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,8
Bentleigh Lakers Basketball Club,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,3
Oakleigh Raptors Basketball Club,"Westall Secondary College, Clayton South VIC 3169",5,3
East Brighton Vampires Basketball Club,"Wesley College - St Kilda Road Junior Campus, Windsor VIC 3181",16,1
Bentleigh Lakers Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,18
Carnegie Basketball Club,"De La Salle College, Malvern VIC 3144",54,9
Brighton Wolves Basketball Club,"St Kevin's College - Waterford, Richmond VIC 3121",7,4
Oakleigh Raptors Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,21
Independent,"The King David School - The Rebecca Magid Centre, Armadale VIC 3143",26,7
Brighton Wolves Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,14
Oakleigh Raptors Basketball Club,"Roberts McCubbin Primary School, Box Hill South VIC 3128",1,1
Bentleigh Lakers Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,6
Carnegie Basketball Club,"Sholem Aleichem College - Senior Campus, Elsternwick VIC 3185",2,1
